response,rt,participant_id,ab_nominal
1,1.2334,712,10.0
1,1.0172,712,10.0
0,1.6511,712,10.0
1,0.8669,712,10.0
1,1.2631,712,10.0
1,1.4466,712,10.0
1,1.8819,712,10.0
1,0.8833,712,10.0
1,1.2666,712,10.0
0,1.1188,712,10.0
0,1.3152,712,10.0
1,0.905,712,10.0
1,2.6937,712,0.05
0,1.2222,712,0.05
1,1.49,713,0.05
0,1.804,713,0.05
0,1.565,713,0.05
1,1.354,713,0.05
0,1.095,713,0.05
1,1.335,713,0.05
1,1.112,713,0.05
1,1.711,713,0.05
1,1.389,713,0.05
0,1.22,713,0.05
0,1.741,713,0.05
1,1.079,713,0.05
1,1.482,713,0.05
1,1.649,713,0.05
1,1.336,713,0.05
1,1.361,713,0.05
1,0.929,713,10.0
0,1.772,713,10.0
1,1.153,713,10.0
1,1.629,713,10.0
1,1.139,713,10.0
1,2.127,713,10.0
0,1.546,713,10.0
1,0.9,713,10.0
1,2.563,713,10.0
0,1.28,713,10.0
1,0.931,713,10.0
1,1.13,713,10.0
0,2.095,713,10.0
1,0.951,713,10.0
0,1.127,713,10.0
1,1.102,713,10.0
1,1.096,713,10.0
0,1.07,713,10.0
1,1.536,713,10.0
1,0.952,713,10.0
0,1.564,713,10.0
1,0.902,713,10.0
0,1.997,713,10.0
1,1.599,713,10.0
1,1.739,713,0.05
0,2.276,713,0.05
0,1.276,713,0.05
1,1.565,713,0.05
1,1.447,713,0.05
1,2.229,713,0.05
1,1.183,713,0.05
1,1.812,713,0.05
1,2.401,713,0.05
0,1.263,713,0.05
0,1.188,713,0.05
1,1.36,713,0.05
0,2.125,713,0.05
1,2.674,713,0.05
1,1.554,713,0.05
1,1.954,713,10.0
1,1.467,713,10.0
1,1.663,713,10.0
1,2.514,713,10.0
1,2.147,713,10.0
1,2.081,713,10.0
1,1.136,713,10.0
1,1.198,713,10.0
1,2.223,713,10.0
1,1.229,713,10.0
1,0.845,713,10.0
0,1.63,713,10.0
1,1.08,713,10.0
1,2.002,713,10.0
1,1.378,713,10.0
1,2.013,713,0.05
1,1.435,713,0.05
1,2.103,713,0.05
1,1.39,713,0.05
1,0.984,713,0.05
1,1.661,713,0.05
1,1.995,713,0.05
1,1.095,713,0.05
1,1.472,713,10.0
1,1.395,713,10.0
1,1.283,713,10.0
1,1.884,713,10.0
1,1.862,713,10.0
0,1.196,713,10.0
0,1.095,713,10.0
1,1.325,713,10.0
1,1.379,713,0.05
1,1.052,713,0.05
1,1.122,713,0.05
1,1.065,713,0.05
1,1.03,713,0.05
0,1.878,713,0.05
0,2.449,713,0.05
0,1.011,713,0.05
1,3.2167,714,10.0
1,3.7164,714,10.0
0,4.566,714,10.0
1,6.6325,714,10.0
0,5.8155,714,10.0
1,3.266,714,10.0
1,2.8827,714,10.0
0,3.5668,714,10.0
1,3.2494,714,0.05
0,4.0827,714,0.05
0,5.1827,714,0.05
1,2.8701,714,0.05
0,2.6169,714,0.05
1,2.3328,714,0.05
1,2.7492,714,0.05
1,3.8762,714,0.05
0,3.4609,714,0.05
1,2.7549,714,0.05
1,3.2275,714,0.05
0,2.425,714,0.05
1,2.6635,714,0.05
1,2.5726,714,0.05
0,2.8137,714,10.0
1,2.5578,714,10.0
1,2.7444,714,10.0
1,3.3324,714,10.0
0,4.2129,714,10.0
1,2.1529,714,10.0
1,3.71,714,10.0
0,3.8466,714,10.0
1,2.7635,714,10.0
0,5.5728,714,10.0
0,6.0372,714,10.0
1,2.8238,714,10.0
1,2.2334,714,10.0
0,4.9106,714,0.05
1,1.4306,714,0.05
